Month,Day,Hour,AverageTemp,LowTemp,HighTemp,Temp,Humi,Wind,RainFall,Solar_Power
0.35776243,0.8327548,0.7053063,0.82316935,0.83441764,0.7813281,0.7864042,0.37300673,0.21022417,0.0,0.31337658
0.12286951,0.7632116,0.5019567,0.44592348,0.4042833,0.51672614,0.5352449,0.55322015,0.19928022,0.0,0.5468861
0.5072907,0.7222828,0.84513944,0.883109,0.8466882,0.85430753,0.77479887,0.70644534,0.005490318,0.0,0.0
0.17671275,0.77470005,0.38954493,0.5929001,0.5548092,0.64329445,0.54461086,0.34846023,0.019966155,0.0,0.2863898
0.9916388,0.025752708,0.1367222,0.27641872,0.30613756,0.21078119,0.24191111,0.8620792,0.0,0.0,0.0
0.85250175,0.0638165,0.5025425,0.500646,0.47765446,0.50796723,0.53841186,0.34346977,0.19563933,0.0,0.44940594
0.0,0.85860157,0.28133395,0.09040296,0.17958021,0.06777677,0.1767841,0.55594194,0.3401736,0.0,0.078025654
0.386326,0.095443055,0.9616047,0.7153727,0.659266,0.7654737,0.6312625,0.7315762,0.021322012,0.0,0.0
0.9900625,0.28225446,0.1509728,0.33583263,0.36012515,0.3071206,0.3082412,0.89118737,0.0,0.0,0.0
0.11695063,0.6483105,0.100677714,0.29615876,0.33193728,0.30193812,0.26183438,0.8597853,0.18697304,0.0,0.0
0.1607328,0.9166632,0.78687114,0.40534717,0.51736385,0.3286431,0.41922343,0.9947787,0.2984449,0.0,0.0
0.7444594,0.6852622,0.9041705,0.70631605,0.66078895,0.7218125,0.63063776,0.70013964,0.0695516,0.0,0.0
0.30434555,0.23531525,0.47118053,0.59746516,0.6135784,0.57519996,0.56034374,0.9519015,0.6210632,0.0,0.19126274
0.29038098,0.830581,0.52396345,0.6576655,0.57148,0.7706753,0.72925407,0.31733328,0.31041372,0.0,0.813243
0.70933706,0.20735069,0.1479263,0.88209075,0.828744,0.92221916,0.6843579,0.7728223,0.0,0.0,0.0
0.97647977,0.7293916,0.99352825,0.31023803,0.34744328,0.27298024,0.32497993,0.79810506,0.04397811,0.0,0.0
0.5934763,0.74047726,0.40919504,0.90025616,0.92416316,0.8643663,0.8090184,0.67378855,0.32545,0.0,0.40840018
0.25844568,0.45280457,0.70967245,0.650737,0.563305,0.724656,0.7250642,0.22702652,0.0755624,0.0,0.40188414
0.7659664,0.5099231,0.9115285,0.70419455,0.6482179,0.7224579,0.584457,0.68952394,0.05958776,0.0,0.0
0.887004,0.5270677,0.19021076,0.43958238,0.44354975,0.4465169,0.3920209,0.8757534,0.0,0.0,0.0
0.52639997,0.19521733,0.23168784,0.6567523,0.6907986,0.63555944,0.5468789,0.8338019,0.09248714,0.0,0.0
0.8645526,1.0280925,0.69222045,0.5138284,0.5156785,0.46446857,0.56583667,0.22229293,0.34540904,0.0,0.25034374
1.0908034,0.30289757,0.52256197,0.19074064,0.2616068,0.14980799,0.3058849,0.46310663,0.40522236,0.0,0.3975684
0.66629684,0.8112683,0.271753,0.80580336,0.86033016,0.7117262,0.68954533,0.88222694,0.034206435,0.0,0.0
0.7201714,0.4956985,0.9328296,0.7797615,0.7445486,0.7738341,0.6598902,0.75409484,0.05230637,0.0,0.0
0.9216739,0.09675734,0.02011618,0.52395314,0.506059,0.50875485,0.43856823,0.8626483,0.0,0.0,0.0
0.8821024,0.79150784,0.9557406,0.40616772,0.4412919,0.38134626,0.40207523,0.75584686,0.16651697,0.0,0.0
0.20295773,0.17021705,0.0562886,0.4390941,0.5075524,0.35174903,0.37072355,1.0118358,0.0,0.0,0.0
0.7031263,0.6163201,0.048451677,0.7340286,0.728237,0.72768784,0.6282998,0.87068284,0.0,0.0,0.0
0.10352641,0.23868029,0.2758063,0.2453412,0.26439804,0.26129922,0.23587888,1.005559,0.0,0.0,0.0
0.9052253,0.4576155,0.05449319,0.5162905,0.48481408,0.5696341,0.43447185,0.9327825,0.0,0.0,0.0
0.8393581,0.28248894,0.8043251,0.6040369,0.4946182,0.70867074,0.6086283,0.46345496,0.15911157,0.0,0.05878223
0.1997225,0.16161348,0.4060238,0.50236106,0.49032605,0.50371385,0.5463772,0.59923404,0.0,0.0,0.5003767
0.849218,0.5858668,0.27572483,0.47234878,0.5827085,0.3712438,0.46198994,1.0428271,0.5638956,0.0,0.0
0.6888404,0.035214737,1.0752888,1.0897614,1.0357747,1.0638758,0.88944685,0.6942715,0.17587413,0.0,0.0
